SMILES,constant,position,c_index,x_index,sasa,xtb_e_homo,xtb_e_lumo,ip,ea,electrophilicity,nucleophilicity,electrofugality,nucleofugality,charge_c,bond_order_c_x,fukui_electro,fukui_nucleo,fukui_radical,fukui_dual,fukui_electro_local,fukui_nucleo_local
CN(C)c1ccc(Br)cc1,-0.83,p,6,7,5.20012150000626,-0.35492134495997524,-0.23115167241014786,12.212410088908502,3.3783486399928093,0.4923465093462229,-7.366410088908502,7.858756598254725,1.959997869353414,0.06968079578817536,0.9708536234466788,0.04132803926570855,0.03843818648716828,0.03988311287643841,0.0028898527785402722,0.036318899174437695,0.03843818648716828
CN(C)c1cccc(Br)c1,-0.16,m,7,8,5.17012079904469,-0.3567035053982554,-0.23483281196893394,12.37482516323453,3.4714943550934696,0.5317623475677228,-7.528825163234529,8.060587510802252,1.9062679924742532,0.0810365951940252,0.9742300299895273,0.07502179075104498,0.019258598539611524,0.047140194645328246,0.05576319221143345,0.06403103996533589,0.019258598539611524
CNc1ccc(Br)cc1,-0.7,p,5,6,5.300123836544844,-0.362723033739367,-0.23500325402302424,12.50174684440913,3.4209880358451414,0.5343999599378805,-7.65574684440913,8.19014680434701,1.9594119240927392,0.06825247732180165,0.9656456854947785,0.03647427944975064,0.04153630817655929,0.03900529381315496,-0.005062028726808651,0.03225160943594306,0.04153630817655929
CNc1cccc(Br)c1,-0.21,m,6,7,5.240122434621691,-0.36541229837363526,-0.23378312034611873,12.68523652150174,3.4181418283557425,0.554458728788853,-7.839236521501739,8.393695250290593,1.982316900433111,0.0824594815312641,0.9637136887196411,0.06885363912020656,0.020314742160230437,0.0445841906402185,0.048538896959976124,0.05705774465340732,0.020314742160230437
CCNc1ccc(Br)cc1,-0.61,p,6,7,5.080118696159966,-0.3607618831208362,-0.23360081805636745,12.415475250708857,3.3858984750702255,0.5166970757414037,-7.569475250708857,8.086172326450262,1.9767986006711784,0.06746931957706848,0.9691612359367948,0.034514769119075306,0.04059966226995501,0.03755721569451516,-0.0060848931508797055,0.03053250227629905,0.04059966226995501
CCNc1cccc(Br)c1,-0.24,m,7,8,5.230122200967843,-0.36300542419791754,-0.23371830171513677,12.592921602759203,3.4284828782620864,0.5464240949269191,-7.746921602759203,8.29334569768612,1.9639412166648327,0.08313334698330457,0.9620598689259211,0.07072852632353036,0.01883223871558884,0.0447803825195596,0.051896287607941516,0.05896888529669024,0.01883223871558884
Nc1ccc(Br)cc1,-0.66,p,4,5,5.280123369237136,-0.36960414573576517,-0.23537819564706772,12.807812557897892,3.399420773834028,0.5639681353248172,-7.9618125578978916,8.525780693222709,2.0105473614907896,0.06647029110196812,0.9659928480936022,0.04160749085244764,0.046096527488716385,0.04385200917058201,-0.004489036636268748,0.03610538470704862,0.046096527488716385
Nc1cccc(Br)c1,-0.16,m,5,6,5.180121032698551,-0.3740942264133558,-0.23549654455488664,13.00177261556267,3.415301300084931,0.5897193253202506,-8.15577261556267,8.745491940882921,2.0204180252353194,0.08430200622374258,0.9682807398747793,0.07003234747992967,0.02321676706325909,0.04662455727159438,0.04681558041667058,0.05708512122620437,0.02321676706325909
NCCCCc1ccc(Br)cc1,-0.51,p,8,9,5.100119163467675,-0.36220664795265395,-0.24404353943884818,12.594796834851044,3.7763725626057005,0.6323593431018344,-7.748796834851044,8.38115617795288,1.701986780496134,0.08263577524902395,0.9790551666634719,0.061866658203618426,0.02089217288115372,0.04137941554238607,0.040974485322464706,0.056062176095569224,0.02089217288115372
NCCCCc1cccc(Br)c1,-0.34,m,9,10,5.120119630775397,-0.3681836452112328,-0.24040424033983196,12.576506455288401,3.608765017350379,0.5876977875250708,-7.730506455288401,8.318204242813474,1.8249327701746922,0.0836344160023954,0.9740885506831428,0.06634000131068245,0.020083217841308926,0.04321160957599569,0.04625678346937352,0.05782958345968528,0.020083217841308926
Oc1ccc(Br)cc1,-0.37,p,4,5,5.17012079904469,-0.4016762025883524,-0.2530458832271532,13.789419773645823,3.8897446317515016,0.8055162710450156,-8.943419773645823,9.74893604469084,1.7617716392935139,0.08080066673947292,0.9824774776129153,0.052733127865071325,0.0430107794178515,0.047871953641461414,0.009722348447219822,0.04662146475167603,0.0430107794178515
