smiles,c_index,x_index
Br[C:51]1=[CH:52][C:54]2=[C:56]([N:55]=[CH:53]1)[CH:58]=[CH:60][CH:59]=[CH:57]2,1,0
Br[C:26]1=[CH:27][C:29]([C:32]2=[CH:34][CH:38]=[CH:42][CH:39]=[CH:35]2)=[N:31][C:30]([C:33]2=[CH:36][CH:40]=[CH:43][CH:41]=[CH:37]2)=[N:28]1,1,0
O=[CH:1][C:2]1=[C:3](Br)[CH:5]=[CH:7][CH:6]=[CH:4]1,3,4
Cl[C:9]1=[CH:7][CH:5]=[C:4]([C:1]([CH3:2])=[O:3])[CH:6]=[CH:8]1,1,0
I[C:6]1=[CH:4][C:2]([CH3:1])=[CH:3][C:5]([CH3:7])=[CH:8]1,1,0
Cl[C:11]1=[C:10]([CH3:9])[CH:12]=[CH:14][CH:15]=[CH:13]1,1,0
Br[C:20]1=[CH:23][CH:19]=[C:15]2[C:13](=[CH:16]1)[C:11]([CH3:10])([CH3:12])[C:14]1=[CH:18][CH:22]=[CH:24][CH:21]=[C:17]12,1,0
Br[C:29]1=[CH:30][CH:32]=[C:34]([C:35]2=[CH:36][C:38]3=[C:41]4[C:43](=[C:45]5[C:42](=[C:40]3[CH:39]=[CH:37]2)[CH:46]=[CH:50][CH:52]=[CH:49]5)[CH:47]=[CH:51][CH:48]=[CH:44]4)[CH:33]=[CH:31]1,1,0
Cl[C:33]1=[CH:35][CH:37]=[CH:39][C:36]([C:38]2=[N:41][C:43]([C:46]3=[CH:49][CH:53]=[CH:56][CH:54]=[CH:50]3)=[N:44][C:42]([C:45]3=[CH:47][CH:51]=[CH:55][CH:52]=[CH:48]3)=[N:40]2)=[CH:34]1,1,0
I[C:1]1=[C:2]([NH2:4])[CH:5]=[CH:7][CH:6]=[CH:3]1,1,0
I[C:11]1=[CH:9][CH:6]=[C:4]([C:1]([O:2][CH2:5][CH3:8])=[O:3])[CH:7]=[CH:10]1,1,0
Br[C:1]1=[CH:3][N:5]=[CH:6][N:4]=[CH:2]1,1,0
Br[C:8]1=[CH:10][CH:9]=[CH:7][C:5]([C:1]([F:2])([F:3])[F:4])=[CH:6]1,1,0
I[C:5]1=[CH:6][CH:8]=[C:10]([C:11]2=[CH:12][CH:14]=[CH:16][CH:15]=[CH:13]2)[CH:9]=[CH:7]1,1,0
Br[C:1]1=[CH:2][CH:4]=[C:6]([C:7]2=[N:9][C:11]([C:14]3=[CH:17][CH:21]=[CH:24][CH:22]=[CH:18]3)=[N:12][C:10]([C:13]3=[CH:15][CH:19]=[CH:23][CH:20]=[CH:16]3)=[N:8]2)[CH:5]=[CH:3]1,1,0
Br[C:14]1=[CH:16][CH:18]=[C:20]2[C:17](=[CH:15]1)[C:19]1=[CH:22][CH:25]=[CH:26][CH:24]=[C:21]1[O:23]2,1,0
Cl[C:8]1=[CH:6][CH:4]=[C:3]([C:1]#[N:2])[CH:5]=[CH:7]1,1,0
Br[C:5]1=[C:4]([N:1](=[O:2])=[O:3])[CH:6]=[CH:8][CH:9]=[CH:7]1,1,0
Cl[C:8]1=[CH:9][CH:11]=[CH:13][CH:12]=[N:10]1,1,0
