SMILES,constant,position,c_index,x_index,global_number_of_atoms,global_charge,global_multiplicity,global_dipole,global_molar_mass,global_molar_volume,global_electronic_spatial_extent,global_E_scf,global_zero_point_correction,global_E_thermal_correction,global_H_thermal_correction,global_G_thermal_correction,global_E_zpe,global_E,global_H,global_G,global_stoichiometry,global_converged,global_homo_energy,global_lumo_energy,global_electronegativity,global_hardness,global_ES_root_dipole,global_ES_root_molar_volume,global_ES_root_electronic_spatial_extent,local_X,local_Y,local_Z,local_VBur,local_Mulliken_charge,local_APT_charge,local_NPA_charge,local_NPA_core,local_NPA_valence,local_NPA_Rydberg,local_NPA_total,local_NMR_shift,local_NMR_anisotropy,local_ES_root_Mulliken_charge,local_ES_root_NPA_charge,local_ES_root_NPA_core,local_ES_root_NPA_valence,local_ES_root_NPA_Rydberg,local_ES_root_NPA_total
Oc1ccc(Br)cc1,-0.37,p,4,5,13.0,0.0,1.0,2.3147,173.0089,790.697,1716.908,-2878.56867751,0.094843,0.101732,0.102676,0.06253,-2878.474392,-2878.467503,-2878.466559,-2878.506706,C6H5BrO,1.0,-0.22195,-0.0148,0.11837500000000001,0.103575,1.7945,767.441,1730.8768,0.312019,0.001138,0.0,0.6117054751415985,0.078091,0.248096,-0.13717,1.99858,4.11723,0.02136,6.13717,64.8452,93.7291,0.081275,-0.07499,1.99858,4.0551,0.02131,6.07499
Oc1cccc(Br)c1,0.12,m,5,6,13.0,0.0,1.0,0.9059,173.0089,1076.668,1607.1799,-2878.56915548,0.094851,0.101714,0.102658,0.062546,-2878.474947,-2878.468084,-2878.46714,-2878.507252,C6H5BrO,1.0,-0.23,-0.01423,0.122115,0.10788500000000001,1.3896,1259.931,1616.0993,-0.216016,0.202802,0.0,0.6117054751415985,0.079879,0.454171,-0.09185,1.99861,4.07111,0.02212,6.09185,54.6599,107.7259,0.050981,-0.14562,1.99864,4.12356,0.02343,6.14562
Sc1ccc(Br)cc1,0.15,p,4,5,13.0,0.0,1.0,1.1095,189.0695,1083.053,2312.7693,-3201.53732979,0.089509,0.097259,0.098203,0.055413,-3201.448782,-3201.441033,-3201.440088,-3201.482878,C6H5BrS,1.0,-0.22272,-0.02,0.12136,0.10136,3.012,1340.922,2319.4711,-0.724066,-0.000613,1e-06,0.6113908118313405,0.073921,0.319641,-0.12265,1.99858,4.10236,0.02171,6.12265,59.3008,103.2757,0.088005,-0.05776,1.99858,4.03739,0.02178,6.05776
Sc1cccc(Br)c1,0.25,m,5,6,13.0,0.0,1.0,0.9023,189.0695,1155.41,2079.1,-3201.53738886,0.089522,0.097239,0.098183,0.055462,-3201.448985,-3201.441268,-3201.440324,-3201.483046,C6H5BrS,1.0,-0.22873,-0.01963,0.12418,0.10454999999999999,2.754,1155.41,2088.119,0.589717,0.292898,1e-06,0.6132787916928886,0.093257,0.441438,-0.09493,1.9986,4.07417,0.02216,6.09493,54.2271,106.9875,0.059779,-0.16064,1.99861,4.13878,0.02324,6.16064
COc1ccc(Br)cc1,-0.27,p,5,6,16.0,0.0,1.0,2.7364,187.0357,1126.809,2371.2266,-2917.87515455,0.12364,0.131913,0.132857,0.089287,-2917.752367,-2917.744094,-2917.74315,-2917.78672,C7H7BrO,1.0,-0.21853,-0.01185,0.11519,0.10334,2.619,1327.131,2379.1799,0.730529,0.044103,0.0,0.6098174952800504,0.079293,0.262781,-0.13472,1.99858,4.11479,0.02135,6.13472,64.2446,93.2286,0.084508,-0.07174,1.99857,4.05177,0.0214,6.07174
COc1cccc(Br)c1,0.12,m,6,7,16.0,0.0,1.0,1.4946,187.0357,1268.312,2072.7466,-2917.87531355,0.123608,0.131863,0.132807,0.08926,-2917.752978,-2917.744722,-2917.743778,-2917.787325,C7H7BrO,1.0,-0.22545,-0.01123,0.11834,0.10711000000000001,2.3631,1193.706,2071.2595,-0.545867,0.347877,0.0,0.6143801132787917,0.076907,0.462035,-0.08807,1.99861,4.0672,0.02226,6.08807,53.8571,105.4486,0.047272,-0.14643,1.99864,4.12415,0.02364,6.14643
CCOc1ccc(Br)cc1,-0.24,p,6,7,19.0,0.0,1.0,2.8518,201.0625,1303.92,3084.6696,-2957.1917772,0.152172,0.161758,0.162702,0.115718,-2957.040912,-2957.031326,-2957.030382,-2957.077366,C8H9BrO,1.0,-0.21618,-0.01131,0.11374500000000001,0.102435,2.8683,1355.054,3071.3716,-1.113929,0.075953,-0.030695,0.6087948395217118,0.078682,0.260822,-0.13587,1.99857,4.11596,0.02134,6.13587,64.9345,91.7626,0.086047,-0.06887,1.99857,4.04889,0.02142,6.06887
CCOc1cccc(Br)c1,0.1,m,7,8,19.0,0.0,1.0,1.6087,201.0625,1432.448,2589.6004,-2957.19195715,0.152114,0.161694,0.162638,0.115656,-2957.041569,-2957.031989,-2957.031045,-2957.078027,C8H9BrO,1.0,-0.22314,-0.01068,0.11691,0.10623,2.6407,1484.537,2570.0898,0.883963,0.393096,-0.000832,0.6141441157960982,0.076171,0.47214,-0.08718,1.99861,4.06632,0.02225,6.08718,53.9734,104.6512,0.046164,-0.14685,1.99863,4.12453,0.02368,6.14685
ClC(Cl)(Cl)Oc1ccc(Br)cc1,0.35,p,8,9,16.0,0.0,1.0,0.1117,290.371,1495.547,5792.028,-4296.63233693,0.09385,0.105455,0.106399,0.052665,-4296.544189,-4296.532584,-4296.53164,-4296.585375,C7H4BrCl3O,1.0,-0.24796,-0.06044,0.1542,0.09376000000000001,16.7349,1495.547,5787.5486,2.433532,0.137706,-1e-06,0.6091881686595343,0.088686,0.351544,-0.12088,1.99859,4.10055,0.02174,6.12088,58.0832,107.2286,0.08651,-0.05591,1.99858,4.03543,0.0219,6.05591
ClC(Cl)(Cl)Oc1cccc(Br)c1,0.43,m,9,10,16.0,0.0,1.0,1.7262,290.371,1660.774,5415.8895,-4296.63193812,0.093815,0.105404,0.106348,0.052656,-4296.544027,-4296.532439,-4296.531494,-4296.585187,C7H4BrCl3O,1.0,-0.25529,-0.06028,0.157785,0.09750500000000001,16.4224,1754.78,5390.5406,2.305785,0.252374,6e-06,0.6112334801762115,0.075217,0.437103,-0.101,1.99861,4.08037,0.02203,6.101,53.2275,113.5446,0.064855,-0.07073,1.99862,4.04965,0.02246,6.07073
FC(F)(F)Oc1ccc(Br)cc1,0.35,p,8,9,16.0,0.0,1.0,0.2748,241.0072,1114.393,4049.7239,-3215.60302219,0.09992,0.11011,0.111054,0.060884,-3215.507759,-3215.497569,-3215.496624,-3215.546795,C7H4BrF3O,1.0,-0.24533,-0.02846,0.136895,0.108435,1.7549,1114.393,4059.88,1.699924,0.089932,-0.049293,0.6107614852108244,0.087886,0.325391,-0.12318,1.99859,4.1029,0.02169,6.12318,58.9004,105.4049,0.077664,-0.09424,1.99859,4.07446,0.02119,6.09424
FC(F)(F)Oc1cccc(Br)c1,0.38,m,9,10,16.0,0.0,1.0,1.5081,241.0072,1233.192,3289.5604,-3215.60271766,0.099881,0.110057,0.111001,0.060827,-3215.507741,-3215.497565,-3215.496621,-3215.546794,C7H4BrF3O,1.0,-0.25123,-0.0279,0.139565,0.111665,1.6327,1099.149,3326.4152,-1.41407,0.393443,-0.023618,0.6132787916928886,0.068866,0.421961,-0.09541,1.99862,4.07449,0.0223,6.09541,53.2673,111.8176,0.044573,-0.11828,1.99864,4.09718,0.02246,6.11828
Cc1ccc(Br)cc1,-0.17,p,4,5,15.0,0.0,1.0,2.159,171.0363,1241.236,1795.2903,-2842.6710206,0.118321,0.125938,0.126882,0.083964,-2842.553508,-2842.545891,-2842.544947,-2842.587865,C7H7Br,1.0,-0.23386,-0.01058,0.12222000000000001,0.11164,0.691,1216.898,1812.4087,0.339713,6e-06,-0.000305,0.6118628067967276,0.07899,0.354473,-0.11467,1.99858,4.09454,0.02155,6.11467,57.3562,102.3712,0.066995,-0.09714,1.99859,4.07704,0.02151,6.09714
Cc1cccc(Br)c1,-0.07,m,5,6,15.0,0.0,1.0,1.9916,171.0363,1144.346,1676.0829,-2842.67131765,0.118345,0.125937,0.126881,0.084085,-2842.553697,-2842.546104,-2842.54516,-2842.587956,C7H7Br,1.0,-0.23771,-0.01072,0.124215,0.113495,0.6902,1382.751,1687.7007,-0.242875,0.212111,0.000835,0.6124134675896791,0.086362,0.403683,-0.09949,1.99859,4.07897,0.02192,6.09949,54.6439,104.2686,0.067592,-0.10759,1.99861,4.08673,0.02225,6.10759
CCc1ccc(Br)cc1,-0.15,p,5,6,18.0,0.0,1.0,2.1543,185.0631,1177.316,2439.1167,-2881.98462255,0.147372,0.156112,0.157056,0.111766,-2881.838049,-2881.829309,-2881.828365,-2881.873655,C8H9Br,1.0,-0.23398,-0.01048,0.12222999999999999,0.11175,0.7159,1477.907,2464.1521,0.751091,0.0,-0.069466,0.6090308370044053,0.079275,0.361239,-0.11386,1.99859,4.09374,0.02154,6.11386,57.0173,102.5887,0.066926,-0.09762,1.9986,4.07752,0.0215,6.09762
CCc1cccc(Br)c1,-0.07,m,6,7,18.0,0.0,1.0,1.9953,185.0631,1406.625,2205.3563,-2881.98492674,0.147396,0.156111,0.157055,0.111834,-2881.838252,-2881.829537,-2881.828593,-2881.873814,C8H9Br,1.0,-0.23785,-0.01022,0.124035,0.113815,0.5918,1253.175,2224.8995,0.622046,0.297187,-0.028456,0.6102894902454373,0.085503,0.405162,-0.09928,1.99859,4.07871,0.02197,6.09928,54.4368,104.1088,0.067113,-0.10476,1.99861,4.08392,0.02223,6.10476
Brc1ccc(C(Br)Br)cc1,0.32,p,1,0,15.0,0.0,1.0,1.0553,328.8285,1328.952,5554.3244,-7984.87059371,0.098938,0.108902,0.109846,0.058844,-7984.773349,-7984.763386,-7984.762442,-7984.813443,C7H5Br3,1.0,-0.24978,-0.0543,0.15204,0.09774,8.9976,1361.366,5598.6232,2.470476,0.0,0.070818,0.6120201384518565,0.086167,0.429596,-0.10339,1.9986,4.08294,0.02185,6.10339,52.2662,112.4112,0.086451,-0.05987,1.9986,4.0394,0.02187,6.05987
Brc1cccc(C(Br)Br)c1,0.31,m,1,0,15.0,0.0,1.0,0.9842,328.8285,1365.161,5074.4125,-7984.87016797,0.098977,0.108925,0.109869,0.058887,-7984.772975,-7984.763027,-7984.762083,-7984.813065,C7H5Br3,1.0,-0.25131,-0.05423,0.15277,0.09853999999999999,5.4648,2013.613,5121.3616,2.296253,0.0,0.30505,0.6102894902454373,0.084246,0.387999,-0.10538,1.9986,4.08448,0.02231,6.10538,55.7836,106.7083,0.067523,-0.07532,1.99858,4.05537,0.02137,6.07532
ClC(Cl)c1ccc(Br)cc1,0.32,p,6,7,15.0,0.0,1.0,1.3155,239.9265,1345.831,3945.6105,-3761.85024583,0.100396,0.10985,0.110794,0.062423,-3761.751356,-3761.741903,-3761.740959,-3761.789329,C7H5BrCl2,1.0,-0.25409,-0.04909,0.15159,0.1025,3.0366,1345.831,3970.8988,1.636194,0.0,0.055051,0.6112334801762115,0.086818,0.42425,-0.10298,1.9986,4.08249,0.02189,6.10298,51.8458,113.6411,0.066288,-0.12303,1.99862,4.10269,0.02173,6.12303
ClC(Cl)c1cccc(Br)c1,0.31,m,7,8,15.0,0.0,1.0,1.162,239.9265,1177.872,3603.6687,-3761.84981587,0.100436,0.109874,0.110818,0.062454,-3761.750987,-3761.741548,-3761.740604,-3761.788968,C7H5BrCl2,1.0,-0.25445,-0.04897,0.15171,0.10274,4.9148,1619.574,3622.4288,1.496573,0.300124,0.0,0.6134361233480177,0.084162,0.381175,-0.10551,1.9986,4.08456,0.02235,6.10551,55.3627,107.9831,0.062879,-0.09076,1.99859,4.07071,0.02146,6.09076
O=Cc1ccc(Br)cc1,0.42,p,5,6,14.0,0.0,1.0,2.1101,185.0199,1065.352,2262.0293,-2916.67655141,0.100106,0.107798,0.108742,0.066292,-2916.577435,-2916.569743,-2916.568798,-2916.611248,C7H5BrO,1.0,-0.25788,-0.07327,0.165575,0.092305,2.6916,1162.202,2266.2662,-0.651147,0.037455,-0.0,0.6106041535556954,0.08824,0.47008,-0.09243,1.99862,4.07187,0.02193,6.09243,46.9517,118.7046,0.0639,-0.14084,1.99862,4.12073,0.0215,6.14084
O=Cc1cccc(Br)c1,0.35,m,6,7,14.0,0.0,1.0,3.5773,185.0199,1042.833,1994.8775,-2916.6758803,0.100089,0.107772,0.108716,0.066244,-2916.576672,-2916.568989,-2916.568045,-2916.610517,C7H5BrO,1.0,-0.25694,-0.07445,0.165695,0.09124499999999999,3.1367,1166.98,2006.3286,0.490129,0.306606,0.0,0.6123348017621145,0.079145,0.345867,-0.11282,1.9986,4.09216,0.02205,6.11282,52.3409,109.0294,0.08347,-0.09883,1.9986,4.07826,0.02197,6.09883
O=C(O)c1ccc(Br)cc1,0.45,p,6,7,15.0,0.0,1.0,1.3274,201.0193,897.009,2811.6204,-2991.92569148,0.105796,0.114319,0.115263,0.070529,-2991.820623,-2991.812099,-2991.811155,-2991.85589,C7H5BrO2,1.0,-0.25497,-0.05915,0.15705999999999998,0.09790999999999998,5.5393,1478.852,2802.1682,0.999019,0.004905,0.0,0.6121774701069855,0.090615,0.460229,-0.09379,1.99861,4.07328,0.0219,6.09379,47.874,117.6347,0.058856,-0.15819,1.9986,4.13818,0.0214,6.15819
O=C(O)c1cccc(Br)c1,0.37,m,7,8,15.0,0.0,1.0,0.5174,201.0193,966.443,2489.8508,-2991.92494015,0.105779,0.114299,0.115244,0.070481,-2991.819921,-2991.811401,-2991.810457,-2991.855219,C7H5BrO2,1.0,-0.25258,-0.05986,0.15622000000000003,0.09636000000000002,5.0772,1347.934,2501.2189,-0.837236,0.332093,0.0,0.6135934550031467,0.074729,0.337106,-0.11326,1.9986,4.09247,0.02218,6.11326,54.1423,107.666,0.052614,-0.08817,1.99858,4.06903,0.02056,6.08817
CC#Cc1ccc(Br)cc1,0.03,p,6,7,17.0,0.0,1.0,2.2787,195.0583,919.126,3357.0896,-2918.82414577,0.128158,0.137979,0.138924,0.089532,-2918.696876,-2918.687055,-2918.68611,-2918.735502,C9H7Br,1.0,-0.22267,-0.03351,0.12809,0.09458,3.7211,1351.656,3377.5516,-1.143379,5.2e-05,-2.5e-05,0.6113908118313405,0.088409,0.387957,-0.10945,1.9986,4.08922,0.02163,6.10945,55.3867,105.4147,0.094021,-0.07767,1.99861,4.05713,0.02193,6.07767
CC#Cc1cccc(Br)c1,0.21,m,7,8,17.0,0.0,1.0,2.1071,195.0583,994.976,2982.436,-2918.82389685,0.128154,0.137954,0.138898,0.088351,-2918.696605,-2918.686806,-2918.685861,-2918.736409,C9H7Br,1.0,-0.2289,-0.0339,0.1314,0.0975,1.4008,1364.539,3001.7975,-1.014504,0.279483,-2.3e-05,0.6131214600377596,0.084966,0.410101,-0.10712,1.99859,4.08669,0.02184,6.10712,54.925,107.4825,0.064451,-0.11455,1.9986,4.09405,0.0219,6.11455
OCc1ccc(Br)cc1,0.0,p,5,6,16.0,0.0,1.0,0.4911,187.0357,1263.091,2370.0655,-2917.87087283,0.123723,0.132079,0.133024,0.088914,-2917.751761,-2917.743405,-2917.74246,-2917.78657,C7H7BrO,1.0,-0.23938,-0.01784,0.12861,0.11077000000000001,1.2284,1287.381,2413.7296,-0.740072,0.046609,-0.031076,0.6092668344870988,0.082151,0.371311,-0.11141,1.99859,4.09117,0.02165,6.11141,55.3426,104.8584,0.069681,-0.09974,1.9986,4.07957,0.02157,6.09974
OCc1cccc(Br)c1,0.0,m,6,7,16.0,0.0,1.0,1.8133,187.0357,1096.426,2146.3166,-2917.87090499,0.123736,0.132084,0.133028,0.088914,-2917.751872,-2917.743524,-2917.74258,-2917.786694,C7H7BrO,1.0,-0.24236,-0.01771,0.13003499999999998,0.112325,1.2538,1146.264,2248.8521,0.650349,0.250996,-0.02642,0.6099748269351793,0.084207,0.394332,-0.10141,1.9986,4.08074,0.02208,6.10141,54.6589,105.0297,0.065099,-0.10377,1.99861,4.08301,0.02215,6.10377
Fc1ccc(Br)cc1,0.06,p,4,5,12.0,0.0,1.0,0.4116,175.0,1171.706,1700.7882,-2902.58554846,0.082608,0.089126,0.09007,0.05046,-2902.503253,-2902.496734,-2902.49579,-2902.535401,C6H4BrF,1.0,-0.24113,-0.02426,0.132695,0.108435,1.4416,758.162,1706.8167,0.300901,0.0,0.0,0.6120201384518565,0.080425,0.294385,-0.12888,1.9986,4.10875,0.02153,6.12888,60.8094,102.5111,0.068683,-0.09598,1.99859,4.07639,0.021,6.09598
Fc1cccc(Br)c1,0.34,m,5,6,12.0,0.0,1.0,1.4797,175.0,962.234,1593.7019,-2902.58546516,0.082575,0.089078,0.090022,0.050425,-2902.503466,-2902.496963,-2902.496019,-2902.535617,C6H4BrF,1.0,-0.24813,-0.02373,0.13593,0.1122,1.0614,893.503,1598.8145,0.212351,0.187949,-0.0,0.6121774701069855,0.080744,0.424412,-0.10024,1.99862,4.07985,0.02178,6.10024,53.6415,112.5901,0.056927,-0.12906,1.99864,4.10829,0.02213,6.12906
Clc1ccc(Br)cc1,0.23,p,4,5,12.0,0.0,1.0,0.0492,191.4546,1272.513,2267.2878,-3262.94771773,0.081156,0.088065,0.089009,0.048739,-3262.867308,-3262.860399,-3262.859455,-3262.899726,C6H4BrCl,1.0,-0.24463,-0.02714,0.135885,0.108745,0.9538,1552.465,2285.9482,0.0,-0.0,0.710146,0.6120201384518565,0.082184,0.356744,-0.11657,1.99859,4.09621,0.02177,6.11657,56.4575,108.8871,0.074726,-0.08991,1.9986,4.06986,0.02145,6.08991
Clc1cccc(Br)c1,0.37,m,5,6,12.0,0.0,1.0,1.6267,191.4546,1035.314,2044.508,-3262.94743434,0.08115,0.088038,0.088982,0.048063,-3262.867202,-3262.860314,-3262.85937,-3262.900289,C6H4BrCl,1.0,-0.25097,-0.02679,0.13888,0.11209000000000001,1.1533,1630.619,2059.6794,0.579518,0.285282,0.0,0.6128067967275016,0.08191,0.410946,-0.10034,1.9986,4.07981,0.02192,6.10034,53.872,110.2662,0.058256,-0.12208,1.99862,4.10143,0.02203,6.12208
Brc1ccc(Br)cc1,0.23,p,1,0,12.0,0.0,1.0,0.0,235.9056,902.406,3185.1415,-5374.45692248,0.080745,0.087878,0.088822,0.046616,-5374.37651,-5374.369378,-5374.368433,-5374.410639,C6H4Br2,1.0,-0.2419,-0.02689,0.13439500000000001,0.107505,0.0,1061.654,3200.2283,1.382949,0.0,0.0,0.6120201384518565,0.084423,0.367123,-0.11591,1.99859,4.09553,0.02179,6.11591,55.8112,110.3263,0.081819,-0.08245,1.9986,4.0623,0.02155,6.08245
Brc1cccc(Br)c1,0.39,m,1,0,12.0,0.0,1.0,1.5879,235.9056,1220.911,2773.0335,-5374.45666015,0.08073,0.087838,0.088783,0.046582,-5374.376454,-5374.369346,-5374.368401,-5374.410602,C6H4Br2,1.0,-0.24858,-0.02657,0.137575,0.11100499999999999,0.626,1165.416,2783.3513,1.195778,0.336949,0.0,0.6120201384518565,0.080234,0.4138,-0.10105,1.9986,4.08047,0.02198,6.10105,53.8578,109.3283,0.054595,-0.13086,1.99861,4.11001,0.02224,6.13086
Brc1ccc(I)cc1,0.18,p,1,0,12.0,0.0,1.0,0.1253,282.9061,1698.318,2580.4223,-2813.82254515,0.080239,0.087579,0.088523,0.045229,-2813.743534,-2813.736195,-2813.735251,-2813.778544,C6H4BrI,1.0,-0.24087,-0.04206,0.141465,0.099405,4.7108,1664.352,2625.7329,1.944315,-0.0,-0.0,0.6117054751415985,0.089078,0.388274,-0.11926,1.99851,4.09821,0.02255,6.11926,55.8769,111.0885,0.095987,-0.07372,1.99849,4.05276,0.02247,6.07372
Brc1cccc(I)c1,0.35,m,1,0,12.0,0.0,1.0,1.5489,282.9061,1136.788,2305.0897,-2813.82230568,0.08026,0.087569,0.088513,0.045224,-2813.743431,-2813.736121,-2813.735177,-2813.778466,C6H4BrI,1.0,-0.24673,-0.04753,0.14713,0.0996,3.7122,1437.703,2340.2529,1.711295,0.347419,0.0,0.6118628067967276,0.088745,0.4172,-0.1078,1.99852,4.08656,0.02272,6.1078,54.8562,107.0692,0.091191,-0.10998,1.99856,4.08776,0.02366,6.10998
CCOC(=O)c1ccc(Br)cc1,0.45,p,8,9,21.0,0.0,1.0,1.9668,229.0729,1492.85,4554.0676,-3070.55032915,0.162646,0.17408,0.175024,0.123061,-3070.389447,-3070.378013,-3070.377069,-3070.429032,C9H9BrO2,1.0,-0.25085,-0.05376,0.15230500000000002,0.09854500000000001,6.6576,1275.708,4580.8114,1.808337,0.00892,-0.00423,0.6102894902454373,0.091183,0.460968,-0.09522,1.99861,4.07479,0.02183,6.09522,48.7607,115.1978,0.059037,-0.1606,1.9986,4.14065,0.02135,6.1606
CCOC(=O)c1cccc(Br)c1,0.37,m,9,10,21.0,0.0,1.0,0.4363,229.0729,1743.391,3860.9692,-3070.54971768,0.162638,0.174064,0.175008,0.123021,-3070.388879,-3070.377453,-3070.376509,-3070.428497,C9H9BrO2,1.0,-0.24904,-0.05432,0.15168,0.09736,4.644,1629.07,3901.6523,1.582078,0.293661,0.024906,0.6117054751415985,0.074513,0.344602,-0.1123,1.9986,4.09164,0.02206,6.1123,54.3821,105.7049,0.053924,-0.08547,1.99858,4.0662,0.02068,6.08547
