smiles,c_index,x_index,global_number_of_atoms,global_charge,global_multiplicity,global_dipole,global_molar_mass,global_molar_volume,global_electronic_spatial_extent,global_E_scf,global_zero_point_correction,global_E_thermal_correction,global_H_thermal_correction,global_G_thermal_correction,global_E_zpe,global_E,global_H,global_G,global_stoichiometry,global_converged,global_homo_energy,global_lumo_energy,global_electronegativity,global_hardness,global_ES_root_dipole,global_ES_root_molar_volume,global_ES_root_electronic_spatial_extent,local_X,local_Y,local_Z,local_VBur,local_Mulliken_charge,local_APT_charge,local_NPA_charge,local_NPA_core,local_NPA_valence,local_NPA_Rydberg,local_NPA_total,local_NMR_shift,local_NMR_anisotropy,local_ES_root_Mulliken_charge,local_ES_root_NPA_charge,local_ES_root_NPA_core,local_ES_root_NPA_valence,local_ES_root_NPA_Rydberg,local_ES_root_NPA_total,from_cas,from_hammett,from_informer,local_NMR_pred,Halide
Clc1cccs1,1,0,9.0,0.0,1.0,1.731,118.5807,995.012,784.9706,-1012.59042585,0.057566,0.062779,0.063723,0.02793,-1012.534654,-1012.529441,-1012.528497,-1012.56429,C4H3ClS,1.0,-0.23327,-0.02227,0.12777,0.1055,1.2032,799.912,800.5896,0.421449,0.204727,0.0,0.5942416614222782,-0.289345,0.40736,-0.2859,1.99864,4.26151,0.02575,6.2859,50.9724,70.4931,-0.327221,-0.30515,1.99861,4.27929,0.02725,6.30515,True,False,False,121.9680244922638,Cl
Brc1ncccn1,1,0,10.0,0.0,1.0,3.508,158.9851,1056.522,1149.8412,-2835.42432245,0.06676,0.072239,0.073183,0.035965,-2835.359686,-2835.354207,-2835.353263,-2835.390481,C4H3BrN2,1.0,-0.26616,-0.05828,0.16222,0.10394,1.6764,1123.96,1141.4602,-0.0,0.150377,0.0,0.5698552548772813,0.380476,0.889886,0.33852,1.99906,3.61939,0.04303,5.66148,17.8856,70.2171,0.453264,0.34054,1.9991,3.62307,0.03729,5.65946,True,False,False,161.4895100593567,Br
Brc1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccccc21,1,0,41.0,0.0,1.0,1.9897,395.2975,2821.694,9876.6698,-3533.43284685,0.318198,0.337,0.337944,0.269942,-3533.116507,-3533.097705,-3533.096761,-3533.164763,C25H15Br,1.0,-0.21128,-0.03827,0.124775,0.086505,9.0346,3092.268,9925.9606,-2.929949,0.31466,1e-06,0.6137507866582756,0.078195,0.401897,-0.10502,1.99863,4.08468,0.02171,6.10502,54.997,100.1706,0.043758,-0.18013,1.99862,4.1599,0.02161,6.18013,True,False,False,114.32426238059998,Br
Brc1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1ccccc1-2,1,0,43.0,0.0,1.0,1.9912,397.3133,2515.313,10089.7985,-3534.61538283,0.339992,0.359927,0.360871,0.289896,-3534.278296,-3534.258361,-3534.257416,-3534.328391,C25H17Br,1.0,-0.21504,-0.0399,0.12747,0.08757,2.3134,2395.536,10029.3452,-2.826261,0.602263,0.071707,0.6155601006922593,0.081952,0.4035,-0.10423,1.99862,4.08379,0.02182,6.10423,55.3312,99.4532,0.056136,-0.13946,1.99861,4.11863,0.02222,6.13946,True,False,False,113.81846404075624,Br
Brc1ccc(-c2c3c(ccc2)c2ccccc2s3)cc1,1,0,31.0,0.0,1.0,2.4043,339.2489,3335.381,10363.4807,-3662.4591797,0.232421,0.247807,0.248751,0.187812,-3662.234742,-3662.219356,-3662.218412,-3662.27935,C18H11BrS,1.0,-0.21374,-0.04357,0.128655,0.085085,3.9509,1871.898,10514.1816,3.636156,-0.108293,0.006311,0.6099748269351793,0.086313,0.417219,-0.10889,1.99859,4.08864,0.02166,6.10889,54.6129,106.45,0.075771,-0.12784,1.99858,4.10763,0.02163,6.12784,True,False,False,114.7848641872406,Br
Clc1c2sc(NN3C(c4ccccc4)=N/C(=C/c4ccccc4)C3=O)nc2ccc1F,1,0,45.0,0.0,1.0,3.0019,448.9012,3265.433,16899.7489,-2137.2880406,0.325017,0.35001,0.350954,0.264881,-2136.9885,-2136.963507,-2136.962563,-2137.048636,C23H14ClFN4OS,1.0,-0.21531,-0.09338,0.154345,0.060965,15.6181,3750.835,17687.666,4.04277,-1.510944,0.836701,0.6413624921334172,-0.216366,0.272164,-0.1211,1.99832,4.09861,0.02417,6.1211,73.2096,88.1126,-0.209645,-0.12039,1.99833,4.09623,0.02584,6.12039,True,False,False,97.8246750831604,Cl
Brc1nc(-c2ccccc2)cc(-c2ccccc2)c1,1,0,31.0,0.0,1.0,3.5029,310.1925,1873.039,8046.9137,-3281.50590475,0.240727,0.255756,0.2567,0.195778,-3281.269056,-3281.254027,-3281.253083,-3281.314005,C17H12BrN,1.0,-0.23101,-0.05758,0.144295,0.086715,5.5437,1942.411,8052.6319,0.168292,1.665371,-0.080545,0.5941629955947136,0.259723,0.802411,0.16009,1.99875,3.80814,0.03302,5.83991,32.5314,71.817,0.247377,0.15097,1.99875,3.81692,0.03336,5.84903,True,False,False,146.10094928741455,Br
Ic1c(N)ccc(C)c1,1,0,17.0,0.0,1.0,1.8534,233.0514,1107.561,1729.1107,-337.688603355,0.134598,0.143821,0.144765,0.098022,-337.556876,-337.547654,-337.54671,-337.593453,C7H8IN,1.0,-0.20295,-0.02954,0.116245,0.0867049999999999,8.2117,1646.374,1751.5946,-0.275913,0.103541,0.005171,0.6533196979232222,-0.376817,0.220567,-0.24381,1.99859,4.22052,0.02469,6.24381,75.8973,57.6993,-0.28097,-0.27785,1.99875,4.24636,0.03273,6.27785,True,False,False,96.16453278064728,I
Brc1nc2c(cc1)cccc2,1,0,17.0,0.0,1.0,3.3856,208.0571,1382.486,2797.585,-2973.03107519,0.125628,0.133769,0.134713,0.091233,-2972.91209,-2972.903949,-2972.903005,-2972.946485,C9H6BrN,1.0,-0.24057,-0.06213,0.15135,0.08922,2.6189,1228.876,2811.6515,-0.984928,0.167647,-0.0,0.5906230333543109,0.255542,0.77359,0.15856,1.9988,3.80956,0.03309,5.84144,34.4953,77.1135,0.248926,0.167,1.99878,3.80084,0.03338,5.833,True,False,False,143.69846439361572,Br
Ic1ccc(C=O)cc1,1,0,14.0,0.0,1.0,2.1737,232.0204,843.087,1961.846,-356.341331959,0.099599,0.107492,0.108437,0.064901,-356.243503,-356.23561,-356.234666,-356.278201,C7H5IO,1.0,-0.25366,-0.07374,0.1637,0.08996,2.748,936.763,1982.6125,-0.112921,0.06006,-0.0,0.6261799874134676,-0.311101,0.453361,-0.20336,1.99866,4.17756,0.02714,6.20336,50.9652,114.9042,-0.333346,-0.24801,1.99865,4.22299,0.02637,6.24801,True,True,False,119.89967250823976,I
Brc1ccc(-c2ccc(Br)s2)s1,1,0,16.0,0.0,1.0,0.0,324.0476,1860.034,8297.3313,-6247.00956449,0.094243,0.105762,0.106706,0.053308,-6246.920266,-6246.908747,-6246.907803,-6246.961201,C8H4Br2S2,1.0,-0.20946,-0.06066,0.13506,0.0744,0.4421,1674.031,8260.1737,0.545014,-3.152154,-0.041075,0.605254877281309,-0.167971,0.309519,-0.35941,1.99869,4.33658,0.02414,6.35941,55.1424,73.1331,-0.177744,-0.3653,1.99868,4.34203,0.02459,6.3653,True,False,False,114.94260048866272,Br
